pre,id,Cuenta,Penloc_Label,Penloc_context0
P_G,147,Contribuciones a planes y fondos de pensiones,penloc2-econ-gast-cuentas:OtroPersonal_ContribucionesAPlanesYFondosDePensiones,penloc2-econ-gast-importes:PrevisionInicial
P_G,15,Incentivos al rendimiento,penloc2-econ-gast-cuentas:IncentivosAlRendimiento,penloc2-econ-gast-importes:PrevisionInicial
P_G,150,Productividad,penloc2-econ-gast-cuentas:Productividad,penloc2-econ-gast-importes:PrevisionInicial
P_G,151,Gratificaciones,penloc2-econ-gast-cuentas:Gratificaciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,152,Otros incentivos al rendimiento,penloc2-econ-gast-cuentas:OtrosIncentivosAlRendimiento,penloc2-econ-gast-importes:PrevisionInicial
P_G,153,Complemento de dedicación especial,penloc2-econ-gast-cuentas:ComplementoDeDedicacionEspecial,penloc2-econ-gast-importes:PrevisionInicial
P_G,16,"Cuotas, prestaciones y gastos sociales a cargo del empleador",penloc2-econ-gast-cuentas:CuotasPrestacionesYGastosSocialesACargoDelEmpleador,penloc2-econ-gast-importes:PrevisionInicial
P_G,160,Cuotas sociales,penloc2-econ-gast-cuentas:CuotasSociales,penloc2-econ-gast-importes:PrevisionInicial
P_G,160.00,Seguridad Social,penloc2-econ-gast-cuentas:SeguridadSocial,penloc2-econ-gast-importes:PrevisionInicial
P_G,160.08,Asistencia médico-farmacéutica,penloc2-econ-gast-cuentas:AsistenciaMedico-farmaceutica,penloc2-econ-gast-importes:PrevisionInicial
P_G,160.09,Otras cuotas,penloc2-econ-gast-cuentas:OtrasCuotas,penloc2-econ-gast-importes:PrevisionInicial
P_G,161,Prestaciones sociales,penloc2-econ-gast-cuentas:PrestacionesSociales,penloc2-econ-gast-importes:PrevisionInicial
P_G,161.03,Pensiones excepcionales,penloc2-econ-gast-cuentas:PensionesExcepcionales,penloc2-econ-gast-importes:PrevisionInicial
P_G,161.04,Indemnizaciones al personal laboral por jubilaciones anticipadas,penloc2-econ-gast-cuentas:IndemnizacionesAlPersonalLaboralPorJubilacionesAnticipadas,penloc2-econ-gast-importes:PrevisionInicial
P_G,161.05,Pensiones a cargo de la Entidad local,penloc2-econ-gast-cuentas:PensionesACargoDeLaEntidadLocal,penloc2-econ-gast-importes:PrevisionInicial
P_G,161.07,Asistencia médico-farmacéutica a pensionistas,penloc2-econ-gast-cuentas:AsistenciaMedico-farmaceuticaAPensionistas,penloc2-econ-gast-importes:PrevisionInicial
P_G,162,Gastos sociales del personal,penloc2-econ-gast-cuentas:GastosSocialesDelPersonal,penloc2-econ-gast-importes:PrevisionInicial
P_G,162.00,Formación y perfeccionamiento del personal,penloc2-econ-gast-cuentas:FormacionYPerfeccionamientoDelPersonal,penloc2-econ-gast-importes:PrevisionInicial
P_G,162.01,Economatos y comedores,penloc2-econ-gast-cuentas:EconomatosYComedores,penloc2-econ-gast-importes:PrevisionInicial
P_G,162.02,Transporte de personal,penloc2-econ-gast-cuentas:TransporteDePersonal,penloc2-econ-gast-importes:PrevisionInicial
P_G,162.04,Acción social,penloc2-econ-gast-cuentas:EconomicaGastos_GastosDePersonal_CuotasPrestacionesYGastosSocialesACargoDelEmpleador_GastosSocialesDelPersonal_AccionSocial,penloc2-econ-gast-importes:PrevisionInicial
P_G,162.05,Seguros,penloc2-econ-gast-cuentas:Seguros,penloc2-econ-gast-importes:PrevisionInicial
P_G,162.09,Otros gastos sociales,penloc2-econ-gast-cuentas:OtrosGastosSociales,penloc2-econ-gast-importes:PrevisionInicial
P_G,164,Complemento familiar,penloc2-econ-gast-cuentas:ComplementoFamiliar,penloc2-econ-gast-importes:PrevisionInicial
P_G,2,GASTOS CORRIENTES EN BIENES Y SERVICIOS,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-importes:PrevisionInicial
P_G,20,Arrendamientos y cánones,penloc2-econ-gast-cuentas:ArrendamientosYCanones,penloc2-econ-gast-importes:PrevisionInicial
P_G,200,Arrendamientos de terrenos y bienes naturales,penloc2-econ-gast-cuentas:ArrendamientosDeTerrenosYBienesNaturales,penloc2-econ-gast-importes:PrevisionInicial
P_G,202,Arrendamientos de edificios y otras construcciones,penloc2-econ-gast-cuentas:ArrendamientosDeEdificiosYOtrasConstrucciones,penloc2-econ-gast-importes:PrevisionInicial
P_G,203,"Arrendamientos de maquinaria, instalaciones y utillaje",penloc2-econ-gast-cuentas:ArrendamientosDeMaquinariaInstalacionesYUtillaje,penloc2-econ-gast-importes:PrevisionInicial
P_G,204,Arrendamientos de material de transporte,penloc2-econ-gast-cuentas:ArrendamientosDeMaterialDeTransporte,penloc2-econ-gast-importes:PrevisionInicial
P_G,205,Arrendamientos de mobiliario y enseres,penloc2-econ-gast-cuentas:ArrendamientosDeMobiliarioYEnseres,penloc2-econ-gast-importes:PrevisionInicial
P_G,206,Arrendamientos de equipos para procesos de información,penloc2-econ-gast-cuentas:ArrendamientosDeEquiposParaProcesosDeInformacion,penloc2-econ-gast-importes:PrevisionInicial
P_G,208,Arrendamientos de otro inmovilizado material,penloc2-econ-gast-cuentas:ArrendamientosDeOtroInmovilizadoMaterial,penloc2-econ-gast-importes:PrevisionInicial
