pre,id,Cuenta,Penloc_Label,Penloc_context0
P_I,30,Tasas por la prestación de servicios públicos básicos,penloc2-econ-ingr-cuentas:TasasPorLaPrestacionDeServiciosPublicosBasicos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,300,Servicio de abastecimiento de agua,penloc2-econ-ingr-cuentas:ServicioDeAbastecimientoDeAgua,penloc2-econ-ingr-importes:PrevisionInicial
P_I,301,Servicio de alcantarillado,penloc2-econ-ingr-cuentas:ServicioDeAlcantarillado,penloc2-econ-ingr-importes:PrevisionInicial
P_I,302,Servicio de recogida de basuras,penloc2-econ-ingr-cuentas:ServicioDeRecogidaDeBasuras,penloc2-econ-ingr-importes:PrevisionInicial
P_I,303,Servicio de tratamiento de residuos,penloc2-econ-ingr-cuentas:ServicioDeTratamientoDeResiduos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,304,Canon de saneamiento,penloc2-econ-ingr-cuentas:CanonDeSaneamiento,penloc2-econ-ingr-importes:PrevisionInicial
P_I,309,Otras tasas por prestación de servicios básicos,penloc2-econ-ingr-cuentas:OtrasTasasPorPrestacionDeServiciosBasicos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,31,Tasas por la prestación de servicios públicos de carácter social y preferente,penloc2-econ-ingr-cuentas:TasasPorLaPrestacionDeServiciosPublicosDeCaracterSocialYPreferente,penloc2-econ-ingr-importes:PrevisionInicial
P_I,310,Servicios hospitalarios,penloc2-econ-ingr-cuentas:TasasPorLaPrestacionDeServiciosPublicosDeCaracterSocialYPreferente_ServiciosHospitalarios,penloc2-econ-ingr-importes:PrevisionInicial
P_I,311,Servicios asistenciales,penloc2-econ-ingr-cuentas:TasasPorLaPrestacionDeServiciosPublicosDeCaracterSocialYPreferente_ServiciosAsistenciales,penloc2-econ-ingr-importes:PrevisionInicial
P_I,312,Servicios educativos,penloc2-econ-ingr-cuentas:TasasPorLaPrestacionDeServiciosPublicosDeCaracterSocialYPreferente_ServiciosEducativos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,313,Servicios deportivos,penloc2-econ-ingr-cuentas:TasasPorLaPrestacionDeServiciosPublicosDeCaracterSocialYPreferente_ServiciosDeportivos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,319,Otras tasas por prestación de servicios de carácter preferente,penloc2-econ-ingr-cuentas:OtrasTasasPorPrestacionDeServiciosDeCaracterPreferente,penloc2-econ-ingr-importes:PrevisionInicial
P_I,32,Tasas por la realización de actividades de competencia local,penloc2-econ-ingr-cuentas:TasasPorLaRealizacionDeActividadesDeCompetenciaLocal,penloc2-econ-ingr-importes:PrevisionInicial
P_I,320,Licencias de caza y pesca,penloc2-econ-ingr-cuentas:LicenciasDeCazaYPesca,penloc2-econ-ingr-importes:PrevisionInicial
P_I,321,Licencias urbanísticas,penloc2-econ-ingr-cuentas:LicenciasUrbanisticas,penloc2-econ-ingr-importes:PrevisionInicial
P_I,322,Cedulas de habitabilidad y licencias de primera ocupación,penloc2-econ-ingr-cuentas:CedulasDeHabitabilidadYLicenciasDePrimeraOcupacion,penloc2-econ-ingr-importes:PrevisionInicial
P_I,323,Tasas por otros servicios urbanísticos,penloc2-econ-ingr-cuentas:TasasPorOtrosServiciosUrbanisticos,penloc2-econ-ingr-importes:PrevisionInicial
P_I,324,Tasas sobre el juego,penloc2-econ-ingr-cuentas:TasasSobreElJuego,penloc2-econ-ingr-importes:PrevisionInicial
