pre,id,Cuenta,Penloc_Label,Penloc_context0,Penloc_context1,Penloc_context2,Penloc_context3,Penloc_context4,Penloc_context5,Penloc_context6,Penloc_context7,Penloc_context8
P_PR,163,Limpieza viaria.,penloc2-prog-cuentas:LimpiezaViaria,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,164,Cementerios y servicios funerarios,penloc2-prog-cuentas:CementeriosYServiciosFunerarios,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,165,Alumbrado público,penloc2-prog-cuentas:AlumbradoPublico,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,169,Otros servicios de bienestar comunitario,penloc2-prog-cuentas:OtrosServiciosDeBienestarComunitario,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,17,Medio ambiente,penloc2-prog-cuentas:MedioAmbiente,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,170,Administración general del medio ambiente,penloc2-prog-cuentas:AdministracionGeneralDelMedioAmbiente,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,171,Parques y jardines,penloc2-prog-cuentas:ParquesYJardines,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,172,Protección y mejora del medio ambiente,penloc2-prog-cuentas:ProteccionYMejoraDelMedioAmbiente,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,179,Otras actuaciones relacionadas con el medio ambiente,penloc2-prog-cuentas:OtrasActuacionesRelacionadasConElMedioAmbiente,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,2,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,penloc2-prog-cuentas:ActuacionesDeProteccionYPromocionSocial,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,21,Pensiones,penloc2-prog-cuentas:Pensiones,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,211,Pensiones,penloc2-prog-cuentas:Pensiones_Pensiones,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,22,Otras prestaciones económicas a favor de empleados,penloc2-prog-cuentas:OtrasPrestacionesEconomicasAFavorDeEmpleados,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,221,Otras prestaciones económicas a favor de empleados,penloc2-prog-cuentas:OtrasPrestacionesEconomicasAFavorDeEmpleados_OtrasPrestacionesEconomicasAFavorDeEmpleados,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,23,Servicios Sociales y promoción social,penloc2-prog-cuentas:ServiciosSocialesYPromocionSocial,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,230,Administración General de servicios sociales.,penloc2-prog-cuentas:AdministracionGeneralDeServiciosSociales,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,231,Acción social,penloc2-prog-cuentas:Programas_ActuacionesDeProteccionYPromocionSocial_ServiciosSocialesYPromocionSocial_AccionSocial,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,232,Promoción social,penloc2-prog-cuentas:PromocionSocial,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
P_PR,233,Asistencia a personas dependientes,penloc2-prog-cuentas:AsistenciaAPersonasDependientes,penloc2-econ-gast-cuentas:GastosDePersonal,penloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,penloc2-econ-gast-cuentas:GastosFinancieros,penloc2-econ-gast-cuentas:TransferenciasCorrientes,penloc2-econ-gast-cuentas:FondoDeContingenciaYOtrosImprevistos,penloc2-econ-gast-cuentas:InversionesReales,penloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,penloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,penloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
