pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3,Lenloc_context4
L_I,21,Impuestos sobre el Valor Añadido,lenloc3-econ-ingr-cuentas:ImpuestosSobreElValorAnadido,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,210,Impuesto sobre el Valor Añadido,lenloc3-econ-ingr-cuentas:ImpuestoSobreElValorAnadido,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,22,Sobre consumos específicos,lenloc3-econ-ingr-cuentas:SobreConsumosEspecificos,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220,Impuestos Especiales,lenloc3-econ-ingr-cuentas:ImpuestosEspeciales,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220.00,Impuesto sobre el alcohol y bebidas derivadas,lenloc3-econ-ingr-cuentas:ImpuestoSobreElAlcoholYBebidasDerivadas,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220.01,Impuesto sobre la cerveza,lenloc3-econ-ingr-cuentas:ImpuestoSobreLaCerveza,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220.02,Impuesto sobre el vino y bebidas fermentadas,lenloc3-econ-ingr-cuentas:ImpuestoSobreElVinoYBebidasFermentadas,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220.03,Impuesto sobre las labores del tabaco,lenloc3-econ-ingr-cuentas:ImpuestoSobreLasLaboresDelTabaco,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220.04,Impuesto sobre hidrocarburos,lenloc3-econ-ingr-cuentas:ImpuestoSobreHidrocarburos,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220.05,Impuesto sobre determinados medios de transporte,lenloc3-econ-ingr-cuentas:ImpuestoSobreDeterminadosMediosDeTransporte,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220.06,Impuesto sobre productos intermedios,lenloc3-econ-ingr-cuentas:ImpuestoSobreProductosIntermedios,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220.07,Impuesto sobre la energía,lenloc3-econ-ingr-cuentas:ImpuestoSobreLaEnergia,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220.08,Impuesto sobre ventas minoristas de hidrocarburos,lenloc3-econ-ingr-cuentas:ImpuestoSobreVentasMinoristasDeHidrocarburos,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,220.09,Exacción sobre la gasolina,lenloc3-econ-ingr-cuentas:ExaccionSobreLaGasolina,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,26,Recargos sobre impuestos indirectos del Estado y de la Comunidad Autónoma,lenloc3-econ-ingr-cuentas:RecargosSobreImpuestosIndirectosDelEstadoYDeLaComunidadAutonoma,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,260,Sobre impuestos del Estado,lenloc3-econ-ingr-cuentas:ImpuestosIndirectos_RecargosSobreImpuestosIndirectosDelEstadoYDeLaComunidadAutonoma_SobreImpuestosDelEstado,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
L_I,261,Sobre impuestos de la Comunidad Autónoma,lenloc3-econ-ingr-cuentas:ImpuestosIndirectos_RecargosSobreImpuestosIndirectosDelEstadoYDeLaComunidadAutonoma_SobreImpuestosDeLaComunidadAutonoma,lenloc3-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc3-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc3-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados,lenloc3-econ-ingr-importes:PrevisionInicialDelEjercicioCorriente
