pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3
L_I,18,Impuestos directos extinguidos,lenloc2-econ-ingr-cuentas:ImpuestosDirectosExtinguidos,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,19,Otros impuestos directos,lenloc2-econ-ingr-cuentas:OtrosImpuestosDirectos,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,2,IMPUESTOS INDIRECTOS,lenloc2-econ-ingr-cuentas:ImpuestosIndirectos,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,21,Impuestos sobre el Valor Añadido,lenloc2-econ-ingr-cuentas:ImpuestosSobreElValorAnadido,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,210,Impuesto sobre el Valor Añadido,lenloc2-econ-ingr-cuentas:ImpuestoSobreElValorAnadido,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,22,Sobre consumos específicos,lenloc2-econ-ingr-cuentas:SobreConsumosEspecificos,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,220,Impuestos Especiales,lenloc2-econ-ingr-cuentas:ImpuestosEspeciales,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,220.00,Impuesto sobre el alcohol y bebidas derivadas,lenloc2-econ-ingr-cuentas:ImpuestoSobreElAlcoholYBebidasDerivadas,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,220.01,Impuesto sobre la cerveza,lenloc2-econ-ingr-cuentas:ImpuestoSobreLaCerveza,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
L_I,220.02,Impuesto sobre el vino y bebidas fermentadas,lenloc2-econ-ingr-cuentas:ImpuestoSobreElVinoYBebidasFermentadas,lenloc2-econ-ingr-importes:PrevisionDefinivaDelEjercicioCorriente,lenloc2-econ-ingr-importes:DerechosReconocidosDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDelEjercicioCorriente,lenloc2-econ-ingr-importes:RecaudacionLiquidaDeEjerciciosCerrados
