pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3,Lenloc_context4,Lenloc_context5,Lenloc_context6,Lenloc_context7
L_PR,163,Limpieza viaria.,lenloc2-prog-cuentas:LimpiezaViaria,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,164,Cementerios y servicios funerarios,lenloc2-prog-cuentas:CementeriosYServiciosFunerarios,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,165,Alumbrado público,lenloc2-prog-cuentas:AlumbradoPublico,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,169,Otros servicios de bienestar comunitario,lenloc2-prog-cuentas:OtrosServiciosDeBienestarComunitario,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,17,Medio ambiente,lenloc2-prog-cuentas:MedioAmbiente,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,170,Administración general del medio ambiente,lenloc2-prog-cuentas:AdministracionGeneralDelMedioAmbiente,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,171,Parques y jardines,lenloc2-prog-cuentas:ParquesYJardines,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,172,Protección y mejora del medio ambiente,lenloc2-prog-cuentas:ProteccionYMejoraDelMedioAmbiente,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,179,Otras actuaciones relacionadas con el medio ambiente,lenloc2-prog-cuentas:OtrasActuacionesRelacionadasConElMedioAmbiente,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
L_PR,2,ACTUACIONES DE PROTECCIÓN Y PROMOCIÓN SOCIAL,lenloc2-prog-cuentas:ActuacionesDeProteccionYPromocionSocial,lenloc2-econ-gast-cuentas:GastosDePersonal,lenloc2-econ-gast-cuentas:GastosCorrientesEnBienesYServicios,lenloc2-econ-gast-cuentas:GastosFinancieros,lenloc2-econ-gast-cuentas:TransferenciasCorrientes,lenloc2-econ-gast-cuentas:InversionesReales,lenloc2-econ-gast-cuentas:EconomicaGastos_TransferenciasDeCapital,lenloc2-econ-gast-cuentas:EconomicaGastos_ActivosFinancieros,lenloc2-econ-gast-cuentas:EconomicaGastos_PasivosFinancieros
