pre,id,Cuenta,Lenloc_Label,Lenloc_context0,Lenloc_context1,Lenloc_context2,Lenloc_context3,Lenloc_context4
L_G,120.06,Trienios,lenloc3-econ-gast-cuentas:PersonalFuncionario_Trienios,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,120.09,Otras retribuciones básicas,lenloc3-econ-gast-cuentas:OtrasRetribucionesBasicas,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,121,Retribuciones complementarias,lenloc3-econ-gast-cuentas:PersonalFuncionario_RetribucionesComplementarias,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,121.00,Complemento de destino,lenloc3-econ-gast-cuentas:ComplementoDeDestino,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,121.01,Complemento específico,lenloc3-econ-gast-cuentas:ComplementoEspecifico,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,121.03,Otros complementos,lenloc3-econ-gast-cuentas:OtrosComplementos,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,122,Retribuciones en especie,lenloc3-econ-gast-cuentas:PersonalFuncionario_RetribucionesEnEspecie,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,124,Retribuciones de funcionarios en prácticas,lenloc3-econ-gast-cuentas:RetribucionesDeFuncionariosEnPracticas,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,124.00,Sueldos del Grupo A1,lenloc3-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoA1,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,124.01,Sueldos del Grupo A2,lenloc3-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoA2,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,124.02,Sueldos del Grupo B,lenloc3-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoB,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,124.03,Sueldos del Grupo C1,lenloc3-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoC1,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,124.04,Sueldos del Grupo C2,lenloc3-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoC2,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,124.05,Sueldos del Grupo E,lenloc3-econ-gast-cuentas:PersonalFuncionarioEnPracticas_SueldosDelGrupoE,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,124.06,Trienios,lenloc3-econ-gast-cuentas:PersonalFuncionarioEnPracticas_Trienios,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,124.09,Otras retribuciones básicas,lenloc3-econ-gast-cuentas:PersonalFuncionarioEnPracticas_OtrasRetribucionesBasicas,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,127,Contribuciones a planes y fondos de pensiones,lenloc3-econ-gast-cuentas:PersonalFuncionario_ContribucionesAPlanesYFondosDePensiones,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,13,Personal Laboral,lenloc3-econ-gast-cuentas:PersonalLaboral,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,130,Laboral Fijo,lenloc3-econ-gast-cuentas:LaboralFijo,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,130.00,Retribuciones básicas,lenloc3-econ-gast-cuentas:PersonalLaboral_LaboralFijo_RetribucionesBasicas,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,130.01,Horas extraordinarias,lenloc3-econ-gast-cuentas:HorasExtraordinarias,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,130.02,Otras remuneraciones,lenloc3-econ-gast-cuentas:PersonalLaboral_LaboralFijo_OtrasRemuneraciones,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,131,Laboral temporal,lenloc3-econ-gast-cuentas:LaboralTemporal,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,132,Retribuciones en especie,lenloc3-econ-gast-cuentas:PersonalLaboral_RetribucionesEnEspecie,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,137,Contribuciones a planes y fondos de pensiones,lenloc3-econ-gast-cuentas:PersonalLaboral_ContribucionesAPlanesYFondosDePensiones,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,14,Otro personal,lenloc3-econ-gast-cuentas:OtroPersonal,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,143,Otro personal,lenloc3-econ-gast-cuentas:OtroPersonal_OtroPersonal,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,147,Contribuciones a planes y fondos de pensiones,lenloc3-econ-gast-cuentas:OtroPersonal_ContribucionesAPlanesYFondosDePensiones,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,15,Incentivos al rendimiento,lenloc3-econ-gast-cuentas:IncentivosAlRendimiento,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,150,Productividad,lenloc3-econ-gast-cuentas:Productividad,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
L_G,151,Gratificaciones,lenloc3-econ-gast-cuentas:Gratificaciones,lenloc3-econ-gast-importes:CreditosDefinitivosDelEjercicioCorriente,lenloc3-econ-gast-importes:ObligacionesReconocidasDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosRealizadosDelEjercicioCorriente,lenloc3-econ-gast-importes:PagosLiquidosDeEjerciciosCerrados,lenloc3-econ-gast-importes:CreditosInicialesDelEjercicioCorriente
